,short_title,url,datetime_local,popularity,score,venue_name,venue_extended_address,stats_listing_count,stats_average_price,stats_lowest_price_good_deals,stats_lowest_price,stats_highest_price,event_promotion
58,Come From Away - New York,https://seatgeek.com/come-from-away-new-york-tickets/gerald-schoenfeld-theatre-2021-11-18-7-pm/broadway/5401817,2021-11-18T19:00:00,0.598,0.419,Gerald Schoenfeld Theatre,"New York, NY 10036",87.0,450.0,120.0,120.0,987.0,
59,Little Shop of Horrors - New York,https://seatgeek.com/little-shop-of-horrors-new-york-tickets/westside-theatre-upstairs-1-2021-11-18-7-pm/broadway/5406155,2021-11-18T19:00:00,0.674,0.522,Westside Theatre Upstairs,"New York, NY 10036",3.0,264.0,249.0,249.0,293.0,
60,Waitress - New York,https://seatgeek.com/waitress-new-york-tickets/barrymore-theatre-2021-11-18-7-pm/broadway/5447021,2021-11-18T19:00:00,0.595,0.405,Barrymore Theatre,"New York, NY 10036",99.0,381.0,140.0,140.0,627.0,
61,Chicken and Biscuits - New York,https://seatgeek.com/chicken-and-biscuits-new-york-tickets/circle-in-the-square-theatre-2021-11-18-7-pm/broadway/5529662,2021-11-18T19:00:00,0.566,0.359,Circle In The Square Theatre,"New York, NY 10019",1.0,239.0,,233.0,244.0,
62,The Lehman Trilogy - New York,https://seatgeek.com/the-lehman-trilogy-new-york-tickets/nederlander-theatre-2021-11-18-7-pm/broadway/5418124,2021-11-18T19:00:00,0.576,0.384,Nederlander Theatre,"New York, NY 10036",78.0,748.0,179.0,94.0,2100.0,
63,Wicked - New York,https://seatgeek.com/wicked-new-york-tickets/gershwin-theatre-2021-11-18-7-pm/broadway/5405237,2021-11-18T19:00:00,0.61,0.458,Gershwin Theatre,"New York, NY 10019",97.0,317.0,146.0,146.0,779.0,
64,Hadestown,https://seatgeek.com/hadestown-tickets/walter-kerr-theatre-2021-11-18-7-pm/broadway/5383420,2021-11-18T19:00:00,0.811,0.676,Walter Kerr Theatre,"New York, NY 10036",28.0,180.0,110.0,110.0,244.0,
65,The Office! A Musical Parody - New York,https://seatgeek.com/the-office-a-musical-parody-new-york-tickets/the-theater-center-1-2021-11-18-7-30-pm/broadway/5521679,2021-11-18T19:30:00,0.558,0.353,The Theater Center,"New York, NY 10019",9.0,91.0,,61.0,150.0,
66,Chicago (Musical) - New York,https://seatgeek.com/chicago-musical-new-york-tickets/ambassador-theatre-2021-11-18-8-pm/broadway/5351349,2021-11-18T20:00:00,0.581,0.39,Ambassador Theatre,"New York, NY 10019",44.0,375.0,141.0,123.0,580.0,
67,David Byrne's American Utopia,https://seatgeek.com/david-byrnes-american-utopia-tickets/st-james-theatre-2021-11-18-8-pm/broadway/5424283,2021-11-18T20:00:00,0.819,0.676,St. James Theatre,"New York, NY 10036",133.0,159.0,68.0,68.0,269.0,
68,Is This A Room - New York,https://seatgeek.com/is-this-a-room-new-york-tickets/lyceum-theatre-2021-11-18-8-pm/broadway/5539236,2021-11-18T20:00:00,0.567,0.354,Lyceum Theatre,"New York, NY 10036",12.0,191.0,120.0,120.0,229.0,
69,Six the Musical - New York,https://seatgeek.com/six-the-musical-new-york-tickets/brooks-atkinson-theatre-2021-11-18-8-pm/broadway/5484353,2021-11-18T20:00:00,0.625,0.439,Brooks Atkinson Theatre,"New York, NY 10036",78.0,933.0,338.0,236.0,1870.0,
70,Company - New York,https://seatgeek.com/company-new-york-tickets/bernard-b-jacobs-theatre-2021-11-18-8-pm/broadway/5501172,2021-11-18T20:00:00,0.544,0.339,Bernard B. Jacobs Theatre,"New York, NY 10036",51.0,888.0,601.0,286.0,1314.0,
71,The Lion King - New York,https://seatgeek.com/the-lion-king-new-york-tickets/minskoff-theatre-2021-11-18-8-pm/broadway/5315511,2021-11-18T20:00:00,0.606,0.445,Minskoff Theatre,"New York, NY 10036",98.0,453.0,157.0,157.0,1136.0,
72,Mrs. Doubtfire - New York,https://seatgeek.com/mrs-doubtfire-new-york-tickets/stephen-sondheim-theatre-2021-11-18-8-pm/broadway/5409774,2021-11-18T20:00:00,0.558,0.361,Stephen Sondheim Theatre,"New York, NY 10036",65.0,748.0,130.0,130.0,1497.0,
73,Flying Over Sunset - New York,https://seatgeek.com/flying-over-sunset-new-york-tickets/lincoln-center-theater-vivian-beaumont-2021-11-18-8-pm/broadway/5529721,2021-11-18T20:00:00,0.584,0.378,Lincoln Center Theater-Vivian Beaumont,"New York, NY 10023",71.0,633.0,168.0,164.0,1184.0,
74,Radio City Christmas Spectacular - New York,https://seatgeek.com/radio-city-christmas-spectacular-new-york-tickets/radio-city-music-hall-2021-11-19-2-pm/broadway/5331315,2021-11-19T14:00:00,0.677,0.536,Radio City Music Hall,"New York, NY 10020",361.0,421.0,97.0,97.0,1249.0,
75,The Office! A Musical Parody - New York,https://seatgeek.com/the-office-a-musical-parody-new-york-tickets/the-theater-center-1-2021-11-19-7-pm/broadway/5521697,2021-11-19T19:00:00,0.544,0.344,The Theater Center,"New York, NY 10019",9.0,91.0,,63.0,152.0,
76,The Lehman Trilogy - New York,https://seatgeek.com/the-lehman-trilogy-new-york-tickets/nederlander-theatre-2021-11-19-7-pm/broadway/5418139,2021-11-19T19:00:00,0.573,0.388,Nederlander Theatre,"New York, NY 10036",89.0,750.0,93.0,92.0,2165.0,
